wort,wortart
Jugendliche ♀,Substantiviertes Adjektiv
Jugendliche ♂,Substantiviertes Adjektiv
Juli,Substantiv
jung,Adjektiv
Junge,Substantiv
Juni,Substantiv
Kaffee,Substantiv
kaputt,Adjektiv
Karte,Substantiv
Kartoffel,Substantiv
Kasse,Substantiv
kaufen,Verb
kein*,Pronomen
kennen,Verb
kennenlernen,Verb
Kilogramm,Substantiv
Kilometer,Substantiv
Kind,Substantiv
Kindergarten,Substantiv
Kino,Substantiv
Kiosk,Substantiv
klar,Adjektiv
Klasse,Substantiv
Kleidung,Substantiv
klein,Adjektiv
kochen,Verb
Koffer,Substantiv
Kollege,Substantiv
Kollegin,Substantiv
kommen,Verb
können,Verb
Konto,Substantiv
Kopf,Substantiv
kosten,Verb
krank,Adjektiv
Kreditkarte,Substantiv
kriegen,Verb
Küche,Substantiv
Kuchen,Substantiv
Kugelschreiber,Substantiv
Kühlschrank,Substantiv
kulturell,Adjektiv
kümmern,Verb
Kunde,Substantiv
Kundin,Substantiv
Kurs,Substantiv
kurz,Adjektiv
lachen,Verb
Laden,Substantiv
Land,Substantiv
lang,Adjektiv
lange,Adverb
langsam,Adjektiv
Lastkraftwagen,Substantiv
laufen,Verb
laut,Adjektiv
Leben,Substantiv
leben,Verb
Lebensmittel,Substantiv
ledig,Adjektiv
legen,Verb
Lehrer,Substantiv
Lehrerin,Substantiv
leicht,Adjektiv
leider,Adverb
leise,Adjektiv
lernen,Verb
lesen,Verb
letzt*,Adjektiv
Leute,Substantiv
Licht,Substantiv
lieb*,Adverb
lieben,Verb
Lieblings-,Präfix
Lied,Substantiv
liegen,Verb
links,Adverb
Liter,Substantiv
Lkw,Substantiv
Lokal,Substantiv
Lösung,Substantiv
lustig,Adjektiv
machen,Verb
Mädchen,Substantiv
Mai,Substantiv
man,Pronomen
Mann,Substantiv
männlich,Adjektiv
März,Substantiv
Maschine,Substantiv
Meer,Substantiv
mehr,Pronomen
meist*,Adverb
Mensch,Substantiv
Meter,Substantiv
Miete,Substantiv
mieten,Verb
Milch,Substantiv
Minute,Substantiv
mit,Präposition
mitbringen,Verb
mitkommen,Verb
mitmachen,Verb
mitnehmen,Verb
Mittag,Substantiv
Mitte,Substantiv
Mittwoch,Substantiv
Möbel,Substantiv
mögen,Verb
möglich,Adjektiv
Moment,Substantiv
Montag,Substantiv
morgen,Adverb
Morgen,Substantiv
müde,Adjektiv
Mund,Substantiv
müssen,Verb
Mutter,Substantiv
nach,Präposition
nächst*,Adjektiv
Nachmittag,Substantiv
Nacht,Substantiv
Name,Substantiv
nehmen,Verb
nein,Partikel
neu,Adjektiv
nicht,Partikel
nichts,Pronomen
nie,Adverb
noch,Adverb
Norden,Substantiv
normal,Adjektiv
November,Substantiv
Nummer,Substantiv
nur,Adverb
oben,Adverb
Obst,Substantiv
oder,Konjunktion
öffnen,Verb
oft,Adverb
ohne,Präposition
Oktober,Substantiv
Öl,Substantiv
Oma,Substantiv
Opa,Substantiv
Ordnung,Substantiv
Ort,Substantiv
Osten,Substantiv
Österreich,Substantiv
Österreicher,Substantiv
Österreicherin,Substantiv
Papier,Substantiv
Partner,Substantiv
Partnerin,Substantiv
Party,Substantiv
Pass,Substantiv
Pause,Substantiv
Pfund,Substantiv
Plan,Substantiv
Platz,Substantiv
Polizei,Substantiv
Pommes frites,Substantiv
Post,Substantiv
Postleitzahl,Substantiv
Praktikum,Substantiv
Praxis,Substantiv
Preis,Substantiv
Problem,Substantiv
Prospekt,Substantiv
Prozent,Substantiv
Prüfung,Substantiv
pünktlich,Adjektiv
Quadratmeter,Substantiv
Rad fahren,Kollokation
rauchen,Verb
Raum,Substantiv
Rechnung,Substantiv
rechts,Adverb
Regen,Substantiv
regnen,Verb
Reis,Substantiv
Reise,Substantiv
Reisebüro,Substantiv
Reiseführer,Substantiv
Reiseführerin,Substantiv
reisen,Verb
Reparatur,Substantiv
reparieren,Verb
Restaurant,Substantiv
Rezeption,Substantiv
richtig,Adjektiv
riechen,Verb
rot,Adjektiv
ruhig,Adjektiv
Saft,Substantiv
sagen,Verb
Salat,Substantiv
Salz,Substantiv
Samstag,Substantiv
Satz,Substantiv
S-Bahn,Substantiv
Schalter,Substantiv
scheinen,Verb
schicken,Verb
Schild,Substantiv
Schinken,Substantiv
schlafen,Verb
schlecht,Adjektiv
schließen,Verb
Schluss,Substantiv
Schlüssel,Substantiv
schmecken,Verb
schnell,Adjektiv
schon,Adverb
schön,Adjektiv
Schrank,Substantiv
schreiben,Verb
Schuh,Substantiv
Schule,Substantiv
Schüler,Substantiv
Schülerin,Substantiv
schwarz,Adjektiv
Schweiz,Substantiv
Schweizer,Substantiv
Schweizerin,Substantiv
schwer,Adjektiv
Schwester,Substantiv
Schwimmbad,Substantiv
schwimmen,Verb
See,Substantiv
sehen,Verb
Sehenswürdigkeit,Substantiv
sehr,Adverb
sein,Verb
seit,Präposition
Sekunde,Substantiv
selbstständig,Adjektiv
September,Substantiv
sitzen,Verb
so,Adverb
Sofa,Substantiv
sofort,Adverb
Sohn,Substantiv
sollen,Verb
Sommer,Substantiv
Sonnabend,Substantiv
Sonne,Substantiv
Sonntag,Substantiv
spät,Adjektiv
später,Adverb
Speisekarte,Substantiv
spielen,Verb
