wort,tags,hinweis,fremd:en,fremd_hinweis:en,fremd:hu,fremd_hinweis:hu
Empfängerin,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
empfehlen,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Ende,"UD::Goethe::A1,UD::UniLeipzig::5",,,,,
enden,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
entschuldigen,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Entschuldigung,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
ergänzen,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Ergebnis,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
erklären,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
erlauben,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
erzählen,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
essen,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Essen,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Euro,"UD::Goethe::A1,UD::UniLeipzig::5",„Du kannst mit Euros bezahlen“ aber „gib mir 10 Euro“,,,,
Europa,"UD::Goethe::A1,UD::UniLeipzig::7","Kein Artikel verwendet, ausser Europa als Subjekt oder Objekt im Satz steht",,,,
fahren,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Fahrer,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Fahrerin,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Fahrkarte,"UD::Goethe::A1,UD::UniLeipzig::14",,,,,
Fahrrad,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Familie,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Familienname,"UD::Goethe::A1,UD::UniLeipzig::17",,,,,
Familienstand,"UD::Goethe::A1,UD::UniLeipzig::16",,,,,
Farbe,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Fax,"UD::Goethe::A1,UD::UniLeipzig::15",,,,,
Februar,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
fehlen,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Fehler,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Feier,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Feierabend,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
feiern,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Feiertag,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
fernsehen,"UD::Goethe::A1,UD::UniLeipzig::16",,,,,
Feuer,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Fieber,"UD::Goethe::A1,UD::UniLeipzig::12",,,,,
Film,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
finden,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
Firma,"UD::Goethe::A1,UD::UniLeipzig::8",,,,,
Fisch,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Flasche,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
Fleisch,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
fliegen,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Flughafen,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Flugzeug,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Formular,"UD::Goethe::A1,UD::UniLeipzig::13",,,,,
Foto,"UD::Goethe::A1,UD::UniLeipzig::9",,,,,
Frage,"UD::Goethe::A1,UD::UniLeipzig::7",,,,,
fragen,"UD::Goethe::A1,UD::UniLeipzig::10",,,,,
Frau,"UD::Goethe::A1,UD::UniLeipzig::6",,,,,
Freitag,"UD::Goethe::A1,UD::UniLeipzig::6",,,,,
Freizeit,"UD::Goethe::A1,UD::UniLeipzig::11",,,,,
